route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
Q76,CS_E0-Weekday-SDon-090100_MISC_778,CS_E0-Weekday-SDon,JAMAICA 165 ST TERM via FRANCIS LEWIS,1,Q760036
Q15A,CS_E0-Weekday-SDon-090100_Q15_7,CS_E0-Weekday-SDon,BEECHHURST POWELLS COVE BL via 10 AV,0,Q15A0041
Q44+,CS_E0-Weekday-SDon-090100_SBS44_38,CS_E0-Weekday-SDon,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053
Q12,CS_E0-Weekday-SDon-090200_Q12_17,CS_E0-Weekday-SDon,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q76,CS_E0-Weekday-SDon-090200_Q76_2,CS_E0-Weekday-SDon,COLLEGE PT 20 AV via FRANCIS LEWIS,0,Q760034
Q17,CS_E0-Weekday-SDon-090400_MISC_777,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,0,Q170048
Q31,CS_E0-Weekday-SDon-090400_MISC_786,CS_E0-Weekday-SDon,BAYSIDE 27 AV FRANCIS LEWIS BL,0,Q310047
Q20B,CS_E0-Weekday-SDon-090400_Q20_13,CS_E0-Weekday-SDon,JAMAICA MERRICK BL via 14 AV via MAIN ST,1,Q20B0026
Q28,CS_E0-Weekday-SDon-090500_MISC_709,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,1,Q280065
Q16,CS_E0-Weekday-SDon-090500_MISC_780,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION via UTOPIA,1,Q160040
Q44+,CS_E0-Weekday-SDon-090500_SBS44_50,CS_E0-Weekday-SDon,SELECT BUS JAMAICA via MAIN ST,1,SBS440052
Q13,CS_E0-Weekday-SDon-090600_MISC_760,CS_E0-Weekday-SDon,FORT TOTTEN,0,Q130033
Q48,CS_E0-Weekday-SDon-090700_MISC_753,CS_E0-Weekday-SDon,LAGUARDIA AIRPORT,1,Q480015
Q28,CS_E0-Weekday-SDon-090700_MISC_793,CS_E0-Weekday-SDon,BAY TERRACE BELL BL,0,Q280064
Q17,CS_E0-Weekday-SDon-090700_MISC_804,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,0,Q170048
Q12,CS_E0-Weekday-SDon-090700_Q12_21,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION via NORTHERN,1,Q120074
Q13,CS_E0-Weekday-SDon-090700_Q13_2,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,1,Q130034
Q32,CS_E0-Weekday-SDon-090800_MISC_723,CS_E0-Weekday-SDon,JACKSON HTS NORTHERN-81 ST via ROOSEVELT,0,Q320044
Q32,CS_E0-Weekday-SDon-090800_MISC_757,CS_E0-Weekday-SDon,MIDTOWN PENN STA via ROOSEVELT via 5 AV,1,Q320042
Q76,CS_E0-Weekday-SDon-090900_MISC_718,CS_E0-Weekday-SDon,COLLEGE PT 20 AV via FRANCIS LEWIS,0,Q760032
Q44+,CS_E0-Weekday-SDon-090900_SBS44_58,CS_E0-Weekday-SDon,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053
Q20A,CS_E0-Weekday-SDon-091000_Q20_15,CS_E0-Weekday-SDon,COLLEGE PT via MAIN ST via 20 AV,0,Q20A0043
Q26,CS_E0-Weekday-SDon-091000_Q26_3,CS_E0-Weekday-SDon,FRESH MEADOWS HOLLIS COURT BL via 46 AV,0,Q260039
Q12,CS_E0-Weekday-SDon-091200_Q12_23,CS_E0-Weekday-SDon,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q44+,CS_E0-Weekday-SDon-091200_SBS44_25,CS_E0-Weekday-SDon,SELECT BUS JAMAICA via MAIN ST,1,SBS440052
Q76,CS_E0-Weekday-SDon-091300_MISC_794,CS_E0-Weekday-SDon,JAMAICA 165 ST TERM via FRANCIS LEWIS,1,Q760036
Q20A,CS_E0-Weekday-SDon-091400_Q20_23,CS_E0-Weekday-SDon,JAMAICA MERRICK BL via 20 AV via MAIN ST,1,Q20A0042
Q28,CS_E0-Weekday-SDon-091500_MISC_774,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,1,Q280065
Q31,CS_E0-Weekday-SDon-091500_MISC_807,CS_E0-Weekday-SDon,JAMAICA LIRR,1,Q310006
Q16,CS_E0-Weekday-SDon-091500_Q16_4,CS_E0-Weekday-SDon,FORT TOTTEN via UTOPIA,0,Q160035
Q20B,CS_E0-Weekday-SDon-091500_Q31_1,CS_E0-Weekday-SDon,COLLEGE PT via MAIN ST via 14 AV,0,Q20B0029
Q48,CS_E0-Weekday-SDon-091600_MISC_737,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,0,Q480008
Q15,CS_E0-Weekday-SDon-091600_MISC_758,CS_E0-Weekday-SDon,BEECHHURST POWELLS COVE BL via 154 ST,0,Q150025
Q31,CS_E0-Weekday-SDon-091600_MISC_803,CS_E0-Weekday-SDon,BAYSIDE 27 AV FRANCIS LEWIS BL,0,Q310047
Q28,CS_E0-Weekday-SDon-091700_MISC_788,CS_E0-Weekday-SDon,BAY TERRACE BELL BL,0,Q280064
Q13,CS_E0-Weekday-SDon-091700_MISC_806,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,1,Q130034
Q44+,CS_E0-Weekday-SDon-091700_SBS44_59,CS_E0-Weekday-SDon,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053
Q32,CS_E0-Weekday-SDon-091800_MISC_748,CS_E0-Weekday-SDon,MIDTOWN PENN STA via ROOSEVELT via 5 AV,1,Q320042
Q16,CS_E0-Weekday-SDon-091800_MISC_784,CS_E0-Weekday-SDon,FLUSHING MAIN ST STA via FRANCIS LEWIS,1,Q160039
Q13,CS_E0-Weekday-SDon-091800_Q13_3,CS_E0-Weekday-SDon,FORT TOTTEN,0,Q130033
Q15,CS_E0-Weekday-SDon-091800_Q15_8,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION via 154 ST,1,Q150048
