stop_id,stop_name,stop_lat,stop_lon
200362,NELSON AV/BELDEN ST,40.547200,-74.149919
200363,NELSON AV/HILLCREST ST,40.544923,-74.148604
200364,NELSON AV/DRIGGS ST,40.543516,-74.147684
200367,HYLAN BL/OSBORNE AV,40.539628,-74.148405
200368,HYLAN BL/ARMSTRONG AV,40.537497,-74.150362
200371,RICHMOND AV/HYLAN BL,40.534540,-74.154361
200372,RICHMOND AV/KING ST,40.535578,-74.156178
200374,RICHMOND AV/SYCAMORE ST,40.540196,-74.161186
200375,RICHMOND AV/OAKDALE ST,40.541830,-74.162723
200377,RICHMOND AV/ELTINGVILLE BL,40.544188,-74.165039
200378,RICHMOND AV/WILSON AV,40.545737,-74.165733
200379,RICHMOND AV/BARTLETT AV,40.547583,-74.166450
200380,RICHMOND AV/MEMPHIS AV,40.549506,-74.167229
200381,RICHMOND AV/KATAN AV,40.550875,-74.167538
200382,RICHMOND AV/GENESEE AV,40.552799,-74.167964
200383,RICHMOND AV/LEVERETT AV,40.555254,-74.168510
200384,RICHMOND AV/BARLOW AV,40.557307,-74.168965
200385,RICHMOND AV/GURLEY AV,40.559025,-74.169347
200386,ELTINGVILLE/TRANSIT CENTER,40.560986,-74.171394
200387,YUKON AV/WATCHMANS OFFICE,40.574887,-74.165154
200388,YUKON AV/KMART DWY,40.575635,-74.166736
200389,YUKON AV/RICHMOND AV,40.576976,-74.169410
200391,RING RD/MACYS PLATINUM AV,40.585067,-74.166625
200392,RICHMOND AV/RICHMOND HILL RD,40.588965,-74.167290
200393,RICHMOND AV/NOME AV,40.590836,-74.165295
200394,RICHMOND AV/DRAPER PL S,40.592540,-74.162974
200395,RICHMOND AV/ROCKLAND AV,40.595642,-74.161776
200397,RICHMOND AV/AMSTERDAM PL,40.600841,-74.162842
200399,RICHMOND AV/ETON PL,40.604462,-74.162229
200400,RICHMOND AV/VICTORY BL,40.607533,-74.162351
200401,RICHMOND AV/MORANI ST,40.610084,-74.160172
200403,RICHMOND AV/W CASWELL AV,40.616621,-74.156603
200406,RICHMOND AV/VEDDER AV,40.622619,-74.149609
200407,FOREST AV/RICHMOND AV,40.624967,-74.148422
200408,FOREST AV/WILLOW RD E,40.624908,-74.145244
200409,PORT RICHMOND AV/SMITH PL,40.626460,-74.142474
200410,PORT RICHMOND AV/ORANGE AV,40.628368,-74.141826
200411,PORT RICHMOND AV/BEEKMAN ST,40.629360,-74.140802
200412,PORT RICHMOND AV/CATHERINE ST,40.630418,-74.139536
200413,PORT RICHMOND AV/HOMESTEAD AV,40.631650,-74.138155
200414,PORT RICHMOND AV/HATFIELD PL,40.632878,-74.136846
200416,PORT RICHMOND AV/HARRISON AV,40.636595,-74.134223
200417,PORT RICHMOND AV/BENNETT ST,40.638381,-74.132905
200426,PORT RICHMOND AV/ANN ST,40.638743,-74.132956
200427,PORT RICHMOND AV/HARRISON AV,40.636460,-74.134663
200428,PORT RICHMOND AV/CHARLES AV,40.634730,-74.135754
200430,PORT RICHMOND AV/BLACKFORD AV,40.631528,-74.138634
200432,PORT RICHMOND AV/ORANGE AV,40.628637,-74.141870
200434,FOREST AV/RICHMOND AV,40.625216,-74.148988
200437,RICHMOND AV/VEDDER AV,40.622224,-74.150328
200438,RICHMOND AV/BARON HIRSCH CEM,40.620134,-74.153328
200439,RICHMOND AV/JULES DR,40.618288,-74.155597
200440,RICHMOND AV/GOETHALS RD N,40.616452,-74.156788
200441,RICHMOND AV/LAMBERTS LA,40.614569,-74.157657
200442,RICHMOND AV/LANDER AV,40.612790,-74.159036
200443,RICHMOND AV/MERRILL AV,40.609936,-74.160418
200444,RICHMOND AV/VICTORY BL,40.607025,-74.162535
200446,RICHMOND AV/CARNEGIE AV,40.604121,-74.162796
200447,RICHMOND AV/SIGNS RD,40.601378,-74.163365
200450,RICHMOND AV/TRAVIS AV,40.593125,-74.162841
200451,RICHMOND AV/TRAVIS AV,40.593140,-74.162856
200452,RICHMOND AV/NOME AV,40.590584,-74.166212
200453,RICHMOND AV/RICHMOND HILL RD,40.588623,-74.168058
200454,RING RD/MACYS PLATINUM AV,40.584949,-74.166914
200455,RING RD/SEARS PLATINUM AV,40.579676,-74.168310
200456,YUKON AV/RICHMOND AV,40.576622,-74.169039
200457,YUKON AV/KMART DWY,40.575645,-74.167150
200459,RICHMOND AV/FOREST HILL RD,40.570434,-74.170027
200460,ELTINGVILLE/TRANSIT CENTER,40.560645,-74.171275
200461,RICHMOND AV/DRUMGOOLE RD E,40.560037,-74.169860
200462,RICHMOND AV/BARLOW AV,40.556676,-74.169104
200463,RICHMOND AV/LEVERETT AV,40.554914,-74.168649
200466,RICHMOND AV/KATAN AV,40.550244,-74.167605
200467,RICHMOND AV/MEMPHIS AV,40.548857,-74.167375
200468,RICHMOND AV/SERRELL AV,40.547528,-74.166684
200469,RICHMOND AV/WILSON AV,40.545092,-74.165753
200470,RICHMOND AV/ELTINGVILLE BL,40.544066,-74.165200
200471,RICHMOND AV/AMBOY RD,40.542948,-74.164003
200472,RICHMOND AV/OAKDALE ST,40.541199,-74.162365
200473,RICHMOND AV/SYCAMORE ST,40.539604,-74.160868
200474,RICHMOND AV/KOCH BL,40.538030,-74.159389
200475,RICHMOND AV/SHIRLEY AV,40.536964,-74.158390
200476,RICHMOND AV/KING ST,40.535112,-74.155659
200479,HYLAN BL/WINCHESTER AV,40.535600,-74.152275
200480,HYLAN BL/LITTLEFIELD AV,40.536515,-74.151212
200484,NELSON AV/HYLAN BL,40.542676,-74.146084
200486,NELSON AV/MONTICELLO TER,40.545058,-74.148540
200487,NELSON AV/BELDEN ST,40.547411,-74.149822
200488,NELSON AV/AMBOY RD,40.549872,-74.150666
