route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,drt_advance_book_min,peak_offpeak
BX12,GH_F0-Saturday-034700_BX12_5,GH_F0-Saturday,EDSON AV via FORDHAM RD via PELHAM PKY,0,BX121516,0.0,0
BX41+,GH_F0-Saturday-034700_SBS41_503,GH_F0-Saturday,SELECT BUS THE HUB 3AV - 149ST,1,SBS410065,0.0,0
BX41,GH_F0-Saturday-035000_BX41_4,GH_F0-Saturday,THE HUB 150 ST via WEBSTER,1,BX410308,0.0,0
BX5,GH_F0-Saturday-035000_BX5_303,GH_F0-Saturday,WEST FARMS RD SOUTHRN BL via BRCKNR,1,BX050004,0.0,0
BX12,GH_F0-Saturday-035200_BX12_10,GH_F0-Saturday,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,BX121593,0.0,0
BX4,GH_F0-Saturday-035500_BX44A_102,GH_F0-Saturday,THE HUB 3 AV via WESTCHESTER AV,1,BX040086,0.0,0
BX28,GH_F0-Saturday-035700_BX238_3,GH_F0-Saturday,FORDHAM CENTER 192 ST via GUNHILL,1,BX280273,0.0,0
BX29,GH_F0-Saturday-035800_BX5_301,GH_F0-Saturday,CO-OP CITY BAY PLAZA,1,BX290060,0.0,0
BX12,GH_F0-Saturday-035900_BX12_8,GH_F0-Saturday,EDSON AV via FORDHAM RD via PELHAM PKY,0,BX121516,0.0,0
BX41+,GH_F0-Saturday-035900_SBS41_506,GH_F0-Saturday,SELECT BUS THE HUB 3AV - 149ST,1,SBS410065,0.0,0
BX22,GH_F0-Saturday-036000_BX22_4,GH_F0-Saturday,PELHAM PKY,0,BX220115,0.0,0
BX24,GH_F0-Saturday-036000_BX24_401,GH_F0-Saturday,HUTCHINSON METRO CENTER,1,BX240086,0.0,0
BX29,GH_F0-Saturday-036000_BX29_501,GH_F0-Saturday,CITY ISLAND,0,BX290067,0.0,0
BX34,GH_F0-Saturday-036000_BX34_101,GH_F0-Saturday,FORDHAM CENTER VALENTINE AV,1,BX340045,0.0,0
BX34,GH_F0-Saturday-036000_BX34_102,GH_F0-Saturday,WOODLAWN KATONAH AV,0,BX340047,0.0,0
BX42,GH_F0-Saturday-036000_BX402_2,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX420119,0.0,0
BX42,GH_F0-Saturday-036000_BX402_4,GH_F0-Saturday,THROGGS NECK HARDING AV via TREMONT,0,BX420149,0.0,0
